RecordID,Country,Gender,Age,Question Type,Value
57,Senegal,F,35-49,1,22.9
197,Senegal,F,15-24,4,32.4
197,Senegal,F,25-34,4,33.2
197,Senegal,F,35-49,4,34.4
267,Senegal,F,15-24,5,35.4
267,Senegal,F,25-34,5,34.9
267,Senegal,F,35-49,5,35.8
337,Senegal,F,15-24,6,33.1
337,Senegal,F,25-34,6,35.6
337,Senegal,F,35-49,6,37.8
407,Senegal,M,15-24,2,36.8
407,Senegal,M,25-34,2,22.3
407,Senegal,M,35-49,2,18.5
127,Senegal,M,15-24,3,25.2
127,Senegal,M,25-34,3,15.5
127,Senegal,M,35-49,3,11.4
57,Senegal,M,15-24,1,9.4
57,Senegal,M,25-34,1,4.6
57,Senegal,M,35-49,1,3.2
197,Senegal,M,15-24,4,19.6
197,Senegal,M,25-34,4,10.5
197,Senegal,M,35-49,4,8.8
267,Senegal,M,15-24,5,22.8
267,Senegal,M,25-34,5,12.9
267,Senegal,M,35-49,5,11.4
337,Senegal,M,15-24,6,15.4
337,Senegal,M,25-34,6,9.5
337,Senegal,M,35-49,6,6.7
408,Sierra Leone,F,15-24,2,58.8
408,Sierra Leone,F,25-34,2,66.0
408,Sierra Leone,F,35-49,2,64.8
128,Sierra Leone,F,15-24,3,44.3
128,Sierra Leone,F,25-34,3,49.6
128,Sierra Leone,F,35-49,3,49.7
58,Sierra Leone,F,15-24,1,16.9
58,Sierra Leone,F,25-34,1,19.6
58,Sierra Leone,F,35-49,1,18.7
198,Sierra Leone,F,15-24,4,48.6
198,Sierra Leone,F,25-34,4,56.2
198,Sierra Leone,F,35-49,4,55.3
268,Sierra Leone,F,15-24,5,49.1
268,Sierra Leone,F,25-34,5,55.7
268,Sierra Leone,F,35-49,5,55.0
338,Sierra Leone,F,15-24,6,21.6
338,Sierra Leone,F,25-34,6,28.2
338,Sierra Leone,F,35-49,6,28.8
408,Sierra Leone,M,15-24,2,34.4
408,Sierra Leone,M,25-34,2,35.9
408,Sierra Leone,M,35-49,2,32.6
128,Sierra Leone,M,15-24,3,24.3
128,Sierra Leone,M,25-34,3,26.4
128,Sierra Leone,M,35-49,3,22.5
58,Sierra Leone,M,15-24,1,5.5
58,Sierra Leone,M,25-34,1,5.5
58,Sierra Leone,M,35-49,1,3.6
198,Sierra Leone,M,15-24,4,19.4
198,Sierra Leone,M,25-34,4,21.2
198,Sierra Leone,M,35-49,4,19.1
268,Sierra Leone,M,15-24,5,21.3
268,Sierra Leone,M,25-34,5,23.8
268,Sierra Leone,M,35-49,5,22.0
338,Sierra Leone,M,15-24,6,9.4
338,Sierra Leone,M,25-34,6,10.2
338,Sierra Leone,M,35-49,6,9.3
409,South Africa,F,15-24,2,6.4
409,South Africa,F,25-34,2,5.1
409,South Africa,F,35-49,2,5.1
129,South Africa,F,15-24,3,2.7
129,South Africa,F,25-34,3,2.1
129,South Africa,F,35-49,3,1.9
59,South Africa,F,15-24,1,1.2
59,South Africa,F,25-34,1,1.0
59,South Africa,F,35-49,1,0.7
199,South Africa,F,15-24,4,2.2
199,South Africa,F,25-34,4,2.1
199,South Africa,F,35-49,4,2.0
269,South Africa,F,15-24,5,4.7
269,South Africa,F,25-34,5,3.4
269,South Africa,F,35-49,5,3.4
339,South Africa,F,15-24,6,1.0
339,South Africa,F,25-34,6,0.8
339,South Africa,F,35-49,6,1.1
409,South Africa,M,15-24,2,13.5
409,South Africa,M,25-34,2,7.5
409,South Africa,M,35-49,2,5.7
129,South Africa,M,15-24,3,5.5
129,South Africa,M,25-34,3,3.2
129,South Africa,M,35-49,3,2.1
59,South Africa,M,15-24,1,2.3
59,South Africa,M,25-34,1,1.2
59,South Africa,M,35-49,1,1.4
199,South Africa,M,15-24,4,3.2
199,South Africa,M,25-34,4,3.5
199,South Africa,M,35-49,4,4.6
269,South Africa,M,15-24,5,9.9
269,South Africa,M,25-34,5,4.5
269,South Africa,M,35-49,5,2.8
339,South Africa,M,15-24,6,2.1
339,South Africa,M,25-34,6,0.9
339,South Africa,M,35-49,6,1.7
410,Tajikistan,F,15-24,2,55.7
410,Tajikistan,F,25-34,2,69.7
410,Tajikistan,F,35-49,2,66.5
130,Tajikistan,F,15-24,3,44.5
130,Tajikistan,F,25-34,3,58.2
130,Tajikistan,F,35-49,3,55.5
60,Tajikistan,F,15-24,1,25.0
60,Tajikistan,F,25-34,1,35.0
60,Tajikistan,F,35-49,1,29.3
200,Tajikistan,F,15-24,4,43.4
200,Tajikistan,F,25-34,4,58.3
200,Tajikistan,F,35-49,4,53.5
270,Tajikistan,F,15-24,5,43.1
270,Tajikistan,F,25-34,5,55.3
270,Tajikistan,F,35-49,5,52.4
340,Tajikistan,F,15-24,6,19.6
340,Tajikistan,F,25-34,6,33.1
340,Tajikistan,F,35-49,6,28.4
410,Tajikistan,M,15-24,2,0.0
410,Tajikistan,M,25-34,2,0.0
410,Tajikistan,M,35-49,2,0.0
130,Tajikistan,M,15-24,3,0.0
130,Tajikistan,M,25-34,3,0.0
130,Tajikistan,M,35-49,3,0.0
60,Tajikistan,M,15-24,1,0.0
60,Tajikistan,M,25-34,1,0.0
60,Tajikistan,M,35-49,1,0.0
200,Tajikistan,M,15-24,4,0.0
200,Tajikistan,M,25-34,4,0.0
200,Tajikistan,M,35-49,4,0.0
270,Tajikistan,M,15-24,5,0.0
270,Tajikistan,M,25-34,5,0.0
270,Tajikistan,M,35-49,5,0.0
340,Tajikistan,M,15-24,6,0.0
340,Tajikistan,M,25-34,6,0.0
340,Tajikistan,M,35-49,6,0.0
411,Tanzania,F,15-24,2,59.4
411,Tanzania,F,25-34,2,55.9
411,Tanzania,F,35-49,2,58.3
131,Tanzania,F,15-24,3,42.1
131,Tanzania,F,25-34,3,40.6
131,Tanzania,F,35-49,3,43.2
61,Tanzania,F,15-24,1,19.3
61,Tanzania,F,25-34,1,19.8
61,Tanzania,F,35-49,1,21.7
201,Tanzania,F,15-24,4,40.3
201,Tanzania,F,25-34,4,40.3
201,Tanzania,F,35-49,4,42.2
271,Tanzania,F,15-24,5,48.1
271,Tanzania,F,25-34,5,46.9
271,Tanzania,F,35-49,5,48.5
341,Tanzania,F,15-24,6,26.9
341,Tanzania,F,25-34,6,31.3
341,Tanzania,F,35-49,6,34.5
411,Tanzania,M,15-24,2,47.8
411,Tanzania,M,25-34,2,34.1
411,Tanzania,M,35-49,2,33.0
131,Tanzania,M,15-24,3,30.6
131,Tanzania,M,25-34,3,19.2
131,Tanzania,M,35-49,3,20.4
61,Tanzania,M,15-24,1,9.2
61,Tanzania,M,25-34,1,3.7
61,Tanzania,M,35-49,1,4.7
201,Tanzania,M,15-24,4,26.9
201,Tanzania,M,25-34,4,17.8
201,Tanzania,M,35-49,4,21.1
271,Tanzania,M,15-24,5,37.8
271,Tanzania,M,25-34,5,25.1
271,Tanzania,M,35-49,5,25.7
341,Tanzania,M,15-24,6,16.9
341,Tanzania,M,25-34,6,10.1
341,Tanzania,M,35-49,6,12.5
412,Timor-Leste,F,15-24,2,72.1
412,Timor-Leste,F,25-34,2,76.8
412,Timor-Leste,F,35-49,2,73.8
132,Timor-Leste,F,15-24,3,58.6
132,Timor-Leste,F,25-34,3,62.6
132,Timor-Leste,F,35-49,3,60.1
62,Timor-Leste,F,15-24,1,31.3
62,Timor-Leste,F,25-34,1,32.4
62,Timor-Leste,F,35-49,1,32.0
202,Timor-Leste,F,15-24,4,61.5
202,Timor-Leste,F,25-34,4,67.7
202,Timor-Leste,F,35-49,4,65.1
272,Timor-Leste,F,15-24,5,61.4
272,Timor-Leste,F,25-34,5,65.5
272,Timor-Leste,F,35-49,5,62.0
342,Timor-Leste,F,15-24,6,31.2
342,Timor-Leste,F,25-34,6,39.7
342,Timor-Leste,F,35-49,6,37.6
412,Timor-Leste,M,15-24,2,51.2
412,Timor-Leste,M,25-34,2,55.3
412,Timor-Leste,M,35-49,2,53.2
132,Timor-Leste,M,15-24,3,30.0
132,Timor-Leste,M,25-34,3,31.0
132,Timor-Leste,M,35-49,3,28.5
62,Timor-Leste,M,15-24,1,20.1
62,Timor-Leste,M,25-34,1,19.5
62,Timor-Leste,M,35-49,1,18.8
202,Timor-Leste,M,15-24,4,42.5
202,Timor-Leste,M,25-34,4,47.9
202,Timor-Leste,M,35-49,4,44.8
272,Timor-Leste,M,15-24,5,44.3
272,Timor-Leste,M,25-34,5,48.7
272,Timor-Leste,M,35-49,5,45.9
342,Timor-Leste,M,15-24,6,27.9
342,Timor-Leste,M,25-34,6,29.8
342,Timor-Leste,M,35-49,6,24.9
413,Togo,F,15-24,2,26.8
413,Togo,F,25-34,2,29.6
413,Togo,F,35-49,2,30.0
133,Togo,F,15-24,3,17.4
133,Togo,F,25-34,3,20.8
133,Togo,F,35-49,3,20.5
63,Togo,F,15-24,1,9.9
63,Togo,F,25-34,1,11.4
63,Togo,F,35-49,1,12.5
203,Togo,F,15-24,4,15.2
203,Togo,F,25-34,4,18.3
203,Togo,F,35-49,4,20.2
273,Togo,F,15-24,5,17.6
273,Togo,F,25-34,5,19.6
273,Togo,F,35-49,5,19.6
343,Togo,F,15-24,6,7.8
343,Togo,F,25-34,6,10.8
343,Togo,F,35-49,6,10.3
413,Togo,M,15-24,2,19.6
413,Togo,M,25-34,2,18.2
413,Togo,M,35-49,2,16.2
133,Togo,M,15-24,3,11.5
133,Togo,M,25-34,3,9.6
133,Togo,M,35-49,3,8.9
63,Togo,M,15-24,1,6.8
63,Togo,M,25-34,1,6.3
63,Togo,M,35-49,1,4.3
203,Togo,M,15-24,4,10.7
203,Togo,M,25-34,4,8.8
203,Togo,M,35-49,4,8.9
273,Togo,M,15-24,5,12.2
273,Togo,M,25-34,5,11.9
273,Togo,M,35-49,5,11.1
343,Togo,M,15-24,6,5.5
343,Togo,M,25-34,6,5.5
343,Togo,M,35-49,6,4.2
414,Turkey,F,15-24,2,10.8
414,Turkey,F,25-34,2,11.6
414,Turkey,F,35-49,2,16.4
134,Turkey,F,15-24,3,5.2
134,Turkey,F,25-34,3,5.0
134,Turkey,F,35-49,3,7.9
64,Turkey,F,15-24,1,0.7
64,Turkey,F,25-34,1,1.0
64,Turkey,F,35-49,1,1.7
204,Turkey,F,15-24,4,2.9
204,Turkey,F,25-34,4,4.0
204,Turkey,F,35-49,4,5.8
274,Turkey,F,15-24,5,6.1
274,Turkey,F,25-34,5,8.1
274,Turkey,F,35-49,5,11.5
344,Turkey,F,15-24,6,1.6
344,Turkey,F,25-34,6,2.1
344,Turkey,F,35-49,6,3.6
414,Turkey,M,15-24,2,0.0
414,Turkey,M,25-34,2,0.0
414,Turkey,M,35-49,2,0.0
134,Turkey,M,15-24,3,0.0
134,Turkey,M,25-34,3,0.0
134,Turkey,M,35-49,3,0.0
64,Turkey,M,15-24,1,0.0
64,Turkey,M,25-34,1,0.0
64,Turkey,M,35-49,1,0.0
204,Turkey,M,15-24,4,0.0
204,Turkey,M,25-34,4,0.0
204,Turkey,M,35-49,4,0.0
274,Turkey,M,15-24,5,0.0
274,Turkey,M,25-34,5,0.0
274,Turkey,M,35-49,5,0.0
344,Turkey,M,15-24,6,0.0
344,Turkey,M,25-34,6,0.0
344,Turkey,M,35-49,6,0.0
415,Turkmenistan,F,15-24,2,46.2
415,Turkmenistan,F,25-34,2,55.4
415,Turkmenistan,F,35-49,2,55.2
135,Turkmenistan,F,15-24,3,31.0
135,Turkmenistan,F,25-34,3,34.6
135,Turkmenistan,F,35-49,3,36.3
65,Turkmenistan,F,15-24,1,19.7
65,Turkmenistan,F,25-34,1,22.5
65,Turkmenistan,F,35-49,1,23.6
205,Turkmenistan,F,15-24,4,36.8
205,Turkmenistan,F,25-34,4,41.6
205,Turkmenistan,F,35-49,4,43.3
275,Turkmenistan,F,15-24,5,38.9
275,Turkmenistan,F,25-34,5,46.3
275,Turkmenistan,F,35-49,5,46.9
345,Turkmenistan,F,15-24,6,16.6
345,Turkmenistan,F,25-34,6,22.0
345,Turkmenistan,F,35-49,6,25.7
415,Turkmenistan,M,15-24,2,0.0
415,Turkmenistan,M,25-34,2,0.0
415,Turkmenistan,M,35-49,2,0.0
135,Turkmenistan,M,15-24,3,0.0
135,Turkmenistan,M,25-34,3,0.0
135,Turkmenistan,M,35-49,3,0.0
65,Turkmenistan,M,15-24,1,0.0
65,Turkmenistan,M,25-34,1,0.0
65,Turkmenistan,M,35-49,1,0.0
205,Turkmenistan,M,15-24,4,0.0
205,Turkmenistan,M,25-34,4,0.0
205,Turkmenistan,M,35-49,4,0.0
275,Turkmenistan,M,15-24,5,0.0
275,Turkmenistan,M,25-34,5,0.0
275,Turkmenistan,M,35-49,5,0.0
345,Turkmenistan,M,15-24,6,0.0
345,Turkmenistan,M,25-34,6,0.0
345,Turkmenistan,M,35-49,6,0.0
416,Uganda,F,15-24,2,53.4
416,Uganda,F,25-34,2,45.4
416,Uganda,F,35-49,2,45.8
136,Uganda,F,15-24,3,29.2
136,Uganda,F,25-34,3,23.0
136,Uganda,F,35-49,3,24.6
66,Uganda,F,15-24,1,16.7
66,Uganda,F,25-34,1,10.4
66,Uganda,F,35-49,1,12.3
206,Uganda,F,15-24,4,32.6
206,Uganda,F,25-34,4,27.6
206,Uganda,F,35-49,4,28.6
276,Uganda,F,15-24,5,42.0
276,Uganda,F,25-34,5,36.3
276,Uganda,F,35-49,5,35.2
346,Uganda,F,15-24,6,18.6
346,Uganda,F,25-34,6,16.4
346,Uganda,F,35-49,6,19.1
416,Uganda,M,15-24,2,48.7
416,Uganda,M,25-34,2,35.2
416,Uganda,M,35-49,2,32.5
136,Uganda,M,15-24,3,27.5
136,Uganda,M,25-34,3,20.1
136,Uganda,M,35-49,3,19.7
66,Uganda,M,15-24,1,11.4
66,Uganda,M,25-34,1,3.6
66,Uganda,M,35-49,1,4.3
206,Uganda,M,15-24,4,25.8
206,Uganda,M,25-34,4,20.2
206,Uganda,M,35-49,4,18.2
276,Uganda,M,15-24,5,35.9
276,Uganda,M,25-34,5,23.1
276,Uganda,M,35-49,5,21.1
346,Uganda,M,15-24,6,15.1
346,Uganda,M,25-34,6,7.9
346,Uganda,M,35-49,6,9.8
417,Ukraine,F,15-24,2,2.5
417,Ukraine,F,25-34,2,3.4
417,Ukraine,F,35-49,2,4.3
137,Ukraine,F,15-24,3,0.5
137,Ukraine,F,25-34,3,0.8
137,Ukraine,F,35-49,3,1.2
67,Ukraine,F,15-24,1,0.1
67,Ukraine,F,25-34,1,0.1
67,Ukraine,F,35-49,1,0.2
207,Ukraine,F,15-24,4,0.2
207,Ukraine,F,25-34,4,0.3
207,Ukraine,F,35-49,4,0.7
277,Ukraine,F,15-24,5,2.3
277,Ukraine,F,25-34,5,2.8
277,Ukraine,F,35-49,5,3.7
347,Ukraine,F,15-24,6,0.3
347,Ukraine,F,25-34,6,0.4
347,Ukraine,F,35-49,6,0.7
417,Ukraine,M,15-24,2,8.3
417,Ukraine,M,25-34,2,14.0
417,Ukraine,M,35-49,2,11.1
137,Ukraine,M,15-24,3,4.4
137,Ukraine,M,25-34,3,6.2
137,Ukraine,M,35-49,3,5.0
67,Ukraine,M,15-24,1,0.9
67,Ukraine,M,25-34,1,0.7
67,Ukraine,M,35-49,1,0.6
207,Ukraine,M,15-24,4,3.0
207,Ukraine,M,25-34,4,5.2
207,Ukraine,M,35-49,4,4.4
277,Ukraine,M,15-24,5,6.4
277,Ukraine,M,25-34,5,11.9
277,Ukraine,M,35-49,5,8.8
347,Ukraine,M,15-24,6,1.3
347,Ukraine,M,25-34,6,2.2
347,Ukraine,M,35-49,6,2.0
418,Yemen,F,15-24,2,47.4
418,Yemen,F,25-34,2,48.3
418,Yemen,F,35-49,2,51.8
138,Yemen,F,15-24,3,18.6
138,Yemen,F,25-34,3,19.9
138,Yemen,F,35-49,3,22.3
68,Yemen,F,15-24,1,9.1
68,Yemen,F,25-34,1,10.1
68,Yemen,F,35-49,1,10.1
208,Yemen,F,15-24,4,34.7
208,Yemen,F,25-34,4,35.0
208,Yemen,F,35-49,4,37.8
278,Yemen,F,15-24,5,29.1
278,Yemen,F,25-34,5,29.7
278,Yemen,F,35-49,5,32.0
348,Yemen,F,15-24,6,28.7
348,Yemen,F,25-34,6,33.8
348,Yemen,F,35-49,6,37.6
418,Yemen,M,15-24,2,0.0
418,Yemen,M,25-34,2,0.0
418,Yemen,M,35-49,2,0.0
138,Yemen,M,15-24,3,0.0
138,Yemen,M,25-34,3,0.0
138,Yemen,M,35-49,3,0.0
68,Yemen,M,15-24,1,0.0
68,Yemen,M,25-34,1,0.0
68,Yemen,M,35-49,1,0.0
208,Yemen,M,15-24,4,0.0
208,Yemen,M,25-34,4,0.0
208,Yemen,M,35-49,4,0.0
278,Yemen,M,15-24,5,0.0
278,Yemen,M,25-34,5,0.0
278,Yemen,M,35-49,5,0.0
348,Yemen,M,15-24,6,0.0
348,Yemen,M,25-34,6,0.0
348,Yemen,M,35-49,6,0.0
419,Zambia,F,15-24,2,48.2
419,Zambia,F,25-34,2,45.7
419,Zambia,F,35-49,2,46.2
139,Zambia,F,15-24,3,33.6
139,Zambia,F,25-34,3,33.0
139,Zambia,F,35-49,3,34.0
69,Zambia,F,15-24,1,23.9
69,Zambia,F,25-34,1,23.0
69,Zambia,F,35-49,1,23.5
209,Zambia,F,15-24,4,30.0
209,Zambia,F,25-34,4,29.8
209,Zambia,F,35-49,4,29.4
279,Zambia,F,15-24,5,34.0
279,Zambia,F,25-34,5,32.4
279,Zambia,F,35-49,5,32.5
349,Zambia,F,15-24,6,25.5
349,Zambia,F,25-34,6,29.9
349,Zambia,F,35-49,6,32.7
419,Zambia,M,15-24,2,37.2
419,Zambia,M,25-34,2,29.7
419,Zambia,M,35-49,2,25.8
139,Zambia,M,15-24,3,23.1
139,Zambia,M,25-34,3,18.3
139,Zambia,M,35-49,3,17.1
69,Zambia,M,15-24,1,9.8
69,Zambia,M,25-34,1,6.3
69,Zambia,M,35-49,1,5.0
209,Zambia,M,15-24,4,18.6
209,Zambia,M,25-34,4,15.7
209,Zambia,M,35-49,4,12.7
279,Zambia,M,15-24,5,24.7
279,Zambia,M,25-34,5,17.8
279,Zambia,M,35-49,5,14.6
349,Zambia,M,15-24,6,12.0
349,Zambia,M,25-34,6,9.5
349,Zambia,M,35-49,6,9.7
420,Zimbabwe,F,15-24,2,48.6
420,Zimbabwe,F,25-34,2,34.9
420,Zimbabwe,F,35-49,2,29.4
140,Zimbabwe,F,15-24,3,21.4
140,Zimbabwe,F,25-34,3,14.8
140,Zimbabwe,F,35-49,3,12.3
70,Zimbabwe,F,15-24,1,11.1
70,Zimbabwe,F,25-34,1,6.8
70,Zimbabwe,F,35-49,1,5.5
210,Zimbabwe,F,15-24,4,28.3
210,Zimbabwe,F,25-34,4,21.6
210,Zimbabwe,F,35-49,4,16.7
280,Zimbabwe,F,15-24,5,27.4
280,Zimbabwe,F,25-34,5,18.8
280,Zimbabwe,F,35-49,5,16.0
350,Zimbabwe,F,15-24,6,15.6
350,Zimbabwe,F,25-34,6,14.0
350,Zimbabwe,F,35-49,6,13.6
420,Zimbabwe,M,15-24,2,44.5
420,Zimbabwe,M,25-34,2,27.4
420,Zimbabwe,M,35-49,2,20.7
140,Zimbabwe,M,15-24,3,18.9
140,Zimbabwe,M,25-34,3,11.3
140,Zimbabwe,M,35-49,3,9.1
70,Zimbabwe,M,15-24,1,9.6
70,Zimbabwe,M,25-34,1,4.1
70,Zimbabwe,M,35-49,1,2.1
210,Zimbabwe,M,15-24,4,23.3
210,Zimbabwe,M,25-34,4,15.1
210,Zimbabwe,M,35-49,4,12.1
280,Zimbabwe,M,15-24,5,24.5
280,Zimbabwe,M,25-34,5,15.8
280,Zimbabwe,M,35-49,5,11.3
350,Zimbabwe,M,15-24,6,8.0
350,Zimbabwe,M,25-34,6,4.7
350,Zimbabwe,M,35-49,6,4.1
