ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
335, Kayseri , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2014.0
336, Kayseri , Resit ,   Yok ,Namus,Kocasi,Bogulma, Tutuklu ,2014.0
337, Kayseri , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Kesici Alet, Intihar ,2014.0
338, Kayseri , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Atesli Silah, Tutuklu ,2014.0
339, Edirne , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2014.0
340, Kirsehir , Resit ,   Yok ,Para,Oglu,Tespit Edilemeyen, Araniyor ,2014.0
341, Kocaeli , Resit ,   Yok ,Namas,Abisi,Bogulma, Tutuklu ,2014.0
342, Konya ,Resit,   Tespit Edilemeyen ,Bosanma,Kocasi,Atesli Silah,Bilinmiyor,2014.0
343, Manisa , Resit ,   Yok ,Kizini Korurken,Kizinin Eski Sevgilisi,Atesli Silah, Intihar ,2014.0
344, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Kesici Alet, Tutuklu ,2014.0
345, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Yuksekten Dusme, Tutuklu ,2014.0
346, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen, Tutuklu ,2014.0
347, Mersin ,Resit,   Yok ,Kiskanclik,Kocasi,Kesici Alet,Bilinmiyor,2014.0
348, Mersin , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
349, Mersin ,Resit,   Tespit Edilemeyen ,Kiskanclik,Sevgilisi,Atesli Silah,Bilinmiyor,2014.0
350, Nigde , Resit ,   Yok ,Reddedilme,Kocasi,Atesli Silah, Tutuklu ,2014.0
351, Nigde , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014.0
352, Rize , Resit ,   Yok ,Tartisma,Akrabasi,Atesli Silah,Tespit Edilemeyen,2014.0
353, Karabuk, Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014.0
354, Samsun , Resit  ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2014.0
355, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2014.0
356, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
357, Tekirdag , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014.0
358, Tekirdag , Resit ,   Yok ,Evden Kacma,Babasi,Atesli Silah, Tutuklu ,2014.0
359, Trabzon , Resit ,   Yok ,Tespit Edilemeyen,Kayinpederi,Darp, Tutuklu ,2014.0
360, Usak , Resit ,   Yok ,Para,Torunu,Darp, Tutuklu ,2014.0
361, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
362, Adana , Resit ,   Yok ,Tartisma,Kardesi,Kesici Alet, Tutuklu ,2015.0
363, Adana , Resit ,   Yok ,Tartisma,Torunu,Atesli Silah, Tutuklu ,2015.0
364, Adana , Tespit Edilemeyen,   Tespit Edilemeyen,Bilinmiyor,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,2015.0
365, Adiyaman , Resit ,   Yok ,Tartisma,Babasi,Atesli Silah, Intihar ,2015.0
366, Afyonkarahisar , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
367, Afyonkarahisar , Resit ,   Yok ,Para,Tanimadigi Birisi,Darp, Tutuklu ,2015.0
368, Antalya , Resit ,   Var ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015.0
369, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Yuksekten Dusme, Sorusturma Suruyor ,2015.0
370, Ankara ,Resit,   Yok ,Bosanma,Eski Kocasi,Bogulma,Bilinmiyor,2015.0
371, Ankara , Resit ,   Yok ,Tespi Edilemeyen,Abisi,Kesici Alet, Tutuklu ,2015.0
372, Ankara , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2015.0
373, Ankara , Resit ,   Var ,Bosanma Talebi,Kocasi,Kesici Alet, Tespit Edilemeyen,2015.0
374, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
375, Antalya , Resit ,   Var ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015.0
376, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Eski Nisanlisi,Atesli Silah, Intihar ,2015.0
377, Antalya , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2015.0
378, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2015.0
379, Aydin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
380, Balikesir ,Resit,   Yok ,Kiskanclik,Eski Nisanlisi,Atesli Silah,Bilinmiyor,2015.0
381, Balikesir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Tespit Edilemeyen, Tutuklu ,2015.0
382, Bingol , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2015.0
383, Bingol , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2015.0
384, Burdur , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
385, Bursa , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2015.0
386, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
387, Bursa , Resit ,   Yok ,Reddedilme,Amcasi,Kesici Alet, Tutuklu ,2015.0
388, Bursa , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2015.0
389, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Bogulma, Tutuklu ,2015.0
390, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
391, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
392, Canakkale , Resit ,   Yok ,Tartisma ,Kocasi,Kesici Alet,Tespit Edilemeyen,2015.0
393, Canakkale , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2015.0
394, Canakkale , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2015.0
395, Diyarbakir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
396, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Amcasi,Tespit Edilemeyen, Sorusturma Suruyor ,2015.0
397, Diyarbakir , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2015.0
398, Duzce , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2015.0
399, Edirne , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2015.0
400, Elazig , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015.0
401, Elazig , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015.0
402, Eskisehir , Resit ,   Var  ,Kiskanclik,Eski Kocasi,Kesici Alet, Tutuklu ,2015.0
403, Gaziantep , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2015.0
404, Gaziantep , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2015.0
405, Gaziantep ,Resit Degil,   Tespit Edilemeyen ,Tespit Edilemeyen,Babasi,Tespit Edilemeyen,Bilinmiyor,2015.0
406, Gaziantep , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015.0
407, Gaziantep ,Resit,   Yok ,Reddedilme,Eski Sevgilisi,Atesli Silah,Bilinmiyor,2015.0
408, Gaziantep ,Resit,   Yok ,Namus,Babasi,Atesli Silah,Bilinmiyor,2015.0
409, Gaziantep , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Darp, Tutuklu ,2015.0
410, Istanbul , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015.0
411, Istanbul , Resit ,   Yok ,Para,Tespit Edilemeyen,Kesici Alet, Tespit Edilemeyen,2015.0
412, Istanbul , Resit ,   Yok ,Haset,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015.0
413, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kardesi,Kesici Alet, Tutuklu ,2015.0
414, Istanbul , Resit ,   Yok ,Husumet ,Akrabasi,Darp, Tutuklu ,2015.0
415, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015.0
416, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2015.0
417, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Intihar ,2015.0
418, Istanbul ,Resit,   Yok ,Reddedilme,Eski Kocasi,Bogulma,Bilinmiyor,2015.0
419, Istanbul , Resit Degil ,   Yok ,Bosanma Talebi,Babasi,Atesli Silah, Intihar ,2015.0
420, Istanbul , Resit ,   Yok ,Hirsizlik,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015.0
421, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015.0
422, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Intihar ,2015.0
423, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Tespit Edilemeyen,2015.0
424, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2015.0
425, Istanbul , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Bogulma,Sorusturma Suruyor,2015.0
426, Istanbul ,Resit,   Tespit Edilemeyen ,Para,Oglu,Iskence,Bilinmiyor,2015.0
427, Izmir ,Resit,   Tespit Edilemeyen ,Kiskanclik,Kocasi,Kesici Alet,Bilinmiyor,2015.0
428, Izmir ,Resit,   Tespit Edilemeyen ,Namus,Ailesi,Bogulma,Bilinmiyor,2015.0
429, Izmir , Tespit Edilemeyen ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Yakilma, Sorusturma Suruyor ,2015.0
430, Kars , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
431, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Tutuklu ,2015.0
432, Kayseri , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Kesici Alet, Tutuklu ,2015.0
433, Edirne , Resit ,   Yok ,Tartisma,Babasi,Darp, Tutuklu ,2015.0
434, Kirikkale , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015.0
435, Kirsehir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Darp, Sorusturma Suruyor ,2015.0
436, Kocaeli , Resit ,   Yok ,Tartisma,Uvey Oglu,Kesici Alet, Tutuklu ,2015.0
437, Kocaeli , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2015.0
438, Konya , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Sorusturma Suruyor ,2015.0
439, Konya , Resit ,   Yok ,Kiskanclik,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015.0
440, Konya , Resit ,   Yok ,Aldatma,Kocasi,Atesli Silah, Intihar ,2015.0
441, Konya , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2015.0
442, Konya , Resit ,   Yok ,Tartisma,Kocasinin Kardesi,Kesici Alet, Tutuklu ,2015.0
443, Kutahya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015.0
444, Kutahya , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015.0
445, Kutahya , Resit ,   Yok ,Tartisma,Sevgilisi,Bogulma, Tutuklu ,2015.0
446, Malatya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015.0
447, Malatya , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015.0
448, Manisa , Resit ,   Yok ,Aldatilma Suphesi,Sevgilisi,Atesli Silah, Tutuklu ,2015.0
449, Manisa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015.0
450, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2015.0
451, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
452, Mersin ,Resit,   Yok ,Kriz ve Issizlik,Kocasi,Iskence,Bilinmiyor,2015.0
453, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2015.0
454, Mersin , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2015.0
455, Nevsehir ,Resit,   Tespit Edilemeyen ,Tespit Edilemeyen,Sevgilisi,Bogulma,Bilinmiyor,2015.0
456, Nevsehir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
457, Ordu , Resit ,   Yok ,Para,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2015.0
458, Osmaniye , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015.0
459, Sakarya , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2015.0
460, Sakarya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015.0
461, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Tutuklu ,2015.0
462, Sinop , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2015.0
463, Sivas , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2015.0
464, Tekirdag , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2015.0
465, Usak , Resit ,   Yok  ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2015.0
466, Yozgat ,Resit,   Tespit Edilemeyen ,Namus,Ailesi,Bogulma,Bilinmiyor,2015.0
467, Zonguldak, Resit Degil ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah,Sorusturma Suruyor,2015.0
468, Zonguldak , Resit Degil ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2015.0
469, Zonguldak , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Araniyor ,2015.0
470, Zonguldak , Resit ,   Yok ,Tespit Edilmeeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015.0
471, Adana , Resit ,   Yok ,Reddedilme,Eski Kocasi,Atesli Silah, Intihar ,2016.0
472, Adana , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Kesici Alet, Tutuklu ,2016.0
473, Adana , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Darp, Tutuklu ,2016.0
474, Adiyaman , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2016.0
475, Agri , Resit ,   Yok ,Reddedilme,Kocasi,Atesli Silah, Tutuklu ,2016.0
476, Ankara , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016.0
477, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2016.0
478, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Bogulma, Tutuklu ,2016.0
479, Antalya , Resit ,   Yok ,Gecimsizlik,Babasi,Atesli Silah, Tutuklu ,2016.0
480, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2016.0
481, Antalya , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2016.0
482, Aydin , Resit ,   Yok ,Baska Bir Kadini Korurken,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2016.0
483, Aydin , Resit ,   Yok ,Barisma Talebi,Sevgilisi,Atesli Silah, Intihar ,2016.0
484, Balikesir , Resit ,   Yok ,Annesini Korurken,Babasi,Atesli Silah, Tutuklu ,2016.0
485, Balikesir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2016.0
486, Bartin , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Kesici Alet, Tutuklu ,2016.0
487, Bolu ,Resit,   Yok ,Kriz ve Issizlik,Kocasi,Kesici Alet,Bilinmiyor,2016.0
488, Bolu , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016.0
489, Bursa , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2016.0
490, Bursa , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016.0
491, Canakkale , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2016.0
492, Canakkale , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016.0
493, Canakkale , Resit ,   Yok ,Tartisma,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2016.0
494, Izmir , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Atesli Silah, Tutuklu ,2016.0
495, Aydin , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2016.0
496, Corlu , Tespit Edilemeyen,   Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor,2016.0
497, Denizli , Resit ,   Var ,Tartisma,Kocasi,Bogulma, Tutuklu ,2016.0
498, Denizli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Sorusturma Suruyor ,2016.0
499, Diyarbakir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2016.0
500, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2016.0
501, Diyarbakir , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Araniyor ,2016.0
502, Duzce , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2016.0
503, Edirne , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Tespit Edilemeyen, Intihar ,2016.0
504, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Ilac, Tespit Edilemeyen,2016.0
505, Erzurum , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2016.0
506, Gaziantep ,Resit,   Yok ,Kadin hayatina dair bir karar vermek istedigi icin,Babasi,Iskence,Bilinmiyor,2016.0
507, Gaziantep , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Darp, Tutuklu ,2016.0
508, Gaziantep ,Resit Degil,   Yok ,Tespit Edilemeyen,Babasi,Atesli Silah,Bilinmiyor,2016.0
509, Gaziantep ,Resit,   Yok ,Kriz ve Issizlik,Kocasi,Kesici Alet,Bilinmiyor,2016.0
510, Gaziantep  , Resit ,   Yok ,Kizini Korurken,Damadi,Atesli Silah, Tutuklu ,2016.0
511, Kocaeli , Resit ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2016.0
512, Kibris , Resit ,   Yok ,Kiskanclik,Kocasi,Yuksekten Dusme, Tutuklu ,2016.0
513, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2016.0
514, Hatay , Resit ,   Yok ,Namus,Amcasi,Atesli Silah, Tutuklu ,2016.0
515, Hatay , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016.0
516, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edlemeyen,Tespit Edilemeyen, Tutuklu ,2016.0
517, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2016.0
518, Igdir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2016.0
519, Igdir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2016.0
520, Isparta , Resit ,   Yok ,Tartisma,Kardesi,Atesli Silah, Tutuklu ,2016.0
521, Isparta , Resit ,   Yok ,Tartisma,Eski Kocasi,Atesli Silah, Tutuklu ,2016.0
522, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2016.0
523, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016.0
524, Istanbul , Resit ,   Yok ,Namus,Kocasi,Kesici Alet, Araniyor ,2016.0
525, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2016.0
526, Istanbul , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Intihar ,2016.0
527, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016.0
528, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2016.0
529, Istanbul ,Resit Degil,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet,Bilinmiyor,2016.0
530, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Darp, Tutuklu ,2016.0
531, Istanbul , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016.0
532, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2016.0
533, Istanbul , Resit Degil ,   Yok ,Bosanma Talebi,Babasi,Atesli Silah, Intihar ,2016.0
534, Izmir , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016.0
535, Izmir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Intihar ,2016.0
536, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Bogulma, Tutuklu ,2016.0
537, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2016.0
538, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2016.0
539, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet,Tespit Edilemeyen,2016.0
540, Kocaeli , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2016.0
541, Kocaeli , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2016.0
542, Kocaeli , Resit ,   Yok ,Bosanma,Eski Kocasi,Atesli Silah, Tutuklu ,2016.0
543, Karaman , Resit ,   Yok ,Bosanma Talebi ,Kocasi,Kesici Alet, Tutuklu ,2016.0
544, Karaman , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Tespit Edilemeyen, Tutuklu ,2016.0
545, Kars , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2016.0
546, Kars , Resit Degil ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen,Sorusturma Suruyor,2016.0
547, Kirklareli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016.0
548, Konya , Resit ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2016.0
549, Konya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2016.0
550, Malatya , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2016.0
551, Manisa , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Kesici Alet, Tutuklu ,2016.0
552, Mardin , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Bogulma, Tutuklu ,2016.0
553, Mersin , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016.0
554, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Araniyor ,2016.0
555, Mersin , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2016.0
556, Mersin , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Atesli Silah, Intihar ,2016.0
557, Mugla , Resit ,   Yok ,Tartisma,Sevgilisi,Darp, Tutuklu ,2016.0
558, Mugla , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Intihar ,2016.0
559, Ordu , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016.0
560, Ordu , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016.0
561, Ordu , Resit ,   Yok ,Tartisma,Oglu,Bogulma, Tutuklu ,2016.0
562, Osmaniye , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016.0
563, Rize , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Kesici Alet, Tutuklu ,2016.0
564, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016.0
565, Samsun , Resit ,   Yok ,Tatisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2016.0
566, Samsun , Resit ,   Yok ,Alzheimer Hastasi Oldugu Icin,Oglu,Darp, Sorusturma suruyor,2016.0
567, Sivas , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2016.0
568, Tekirdag , Resit ,   Yok ,Tartisma,Sevgilisi,Yuksekten Dusme, Tutuklu ,2016.0
569, Tokat , Resit ,   Var,Reddedilme,Eski Kocasi,Atesli Silah, Araniyor ,2016.0
570, Tokat , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016.0
