ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
158, Istanbul , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2011.0
159, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Bogulma, Tutuklu ,2011.0
160, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Kesici Alet,Tespit Edilemeyen,2011.0
161, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen, Tespit Edilemeyen,2011.0
162, Izmir ,Resit,   Tespit Edilemeyen ,Bosanma,Eski Kocasi,Atesli Silah,Bilinmiyor,2011.0
163, Izmir , Resit ,   Yok ,Tartisma,Eski Kocasi,Atesli Silah, Tutuklu ,2011.0
164, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2011.0
165, Kahramanmaras , Resit ,   Yok ,Para,Tanimadigi BIrisi,Kesici Alet, Tutuklu ,2011.0
166, Kirklareli , Resit ,   Yok ,Bosanma Talebi ,Kocasi,Atesli Silah, Araniyor ,2011.0
167, Konya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2011.0
168, Konya , Resit ,   Yok ,Kizini Korurken,Eski Damadi,Atesli Silah, Tutuklu ,2011.0
169, Konya , Resit ,   Yok ,Reddedilme,Eski Kocasi,Kesici Alet, Tutuklu ,2011.0
170, Kutahya , Resit ,   Yok ,Tespit Edilemeyen,Kayinpederi,Atesli Silah, Tutuklu ,2011.0
171, Nigde , Resit ,   Yok ,Tespit Edilemeyen,Abisi,Kesici Alet, Tutuklu ,2011.0
172, Ordu , Resit ,   Yok ,Tespit Edilemeyen,Amcasi,Atesli Silah, Tutuklu ,2011.0
173, Ordu , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2011.0
174, Ordu , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2011.0
175, Sakarya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2011.0
176, Sanliurfa , Resit ,   Yok ,Tartisma,Uvey Oglu,Kesici Alet, Tutuklu ,2011.0
177, Zonguldak , Resit Degil ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2011.0
178, Adana , Resit ,   Yok ,Para,Torunu,Bogulma, Tutuklu ,2012.0
179, Aksaray , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Bogulma, Tutuklu ,2012.0
